,City,Latitude,Longitude,Max Temperature,Humidity,Cloudiness,Wind Speed,Country,Date
0,Puerto Ayora,-0.7393,-90.3518,73.99,92,25,3.0,EC,1610251685
1,Upernavik,72.7868,-56.1549,10.47,83,96,8.99,GL,1610251854
2,Leiyang,26.4024,112.8591,43.83,55,99,5.53,CN,1610252034
3,Ushuaia,-54.8,-68.3,44.6,87,20,16.11,AR,1610251823
4,Bluff,-46.6,168.3333,64.0,70,93,23.0,NZ,1610251874
5,Arona,28.0996,-16.681,57.2,67,20,6.91,ES,1610252118
6,Puerto Escondido,15.85,-97.0667,75.16,82,37,0.78,MX,1610252119
7,Airai,-8.9266,125.4092,74.5,87,95,1.68,TL,1610251947
8,Saint-Philippe,-21.3585,55.7679,80.6,54,90,2.3,RE,1610252168
9,Iralaya,15.0,-83.2333,76.06,85,44,12.75,HN,1610252169
10,Pandan,14.0453,124.1694,75.04,86,100,22.95,PH,1610252170
11,East London,-33.0153,27.9116,69.8,83,0,9.22,ZA,1610252172
12,Hobyo,5.3505,48.5268,75.06,72,0,22.41,SO,1610252173
13,Mahébourg,-20.4081,57.7,80.6,83,75,9.22,MU,1610251991
14,Nanortalik,60.1432,-45.2371,31.95,92,100,8.5,GL,1610252175
15,Saint Paul Harbor,57.79,-152.4072,37.4,87,90,27.63,US,1610251684
16,Albany,42.6001,-73.9662,26.01,56,83,3.0,US,1610251920
17,Vytegra,61.0064,36.4481,-6.63,91,64,3.96,RU,1610252179
18,Hermanus,-34.4187,19.2345,62.01,94,100,12.17,ZA,1610252181
19,Mossamedes,-15.1961,12.1522,70.72,72,93,4.47,AO,1610252182
20,Rikitea,-23.1203,-134.9692,78.76,76,100,14.65,PF,1610252183
21,Baharly,38.4362,57.4316,39.88,58,0,3.96,TM,1610252185
22,Mana,5.6592,-53.7767,77.23,87,100,13.2,GF,1610252186
23,Thompson,55.7435,-97.8558,6.8,85,1,3.44,CA,1610252187
24,Włodawa,51.55,23.55,28.99,100,100,8.14,PL,1610252188
25,Sasso Marconi,44.3995,11.2495,36.0,87,75,6.91,IT,1610252190
26,Hobart,-42.8794,147.3294,75.99,60,75,17.27,AU,1610252191
27,Kingsville,27.5159,-97.8561,57.2,71,90,11.5,US,1610252189
28,Mehamn,71.0357,27.8492,15.28,94,17,18.25,NO,1610252194
29,Butaritari,3.0707,172.7902,80.46,82,100,18.92,KI,1610252195
30,Hilo,19.7297,-155.09,75.2,69,75,9.22,US,1610252197
31,Kavieng,-2.5744,150.7967,85.55,69,98,6.98,PG,1610252198
32,Busselton,-33.65,115.3333,73.0,62,97,7.0,AU,1610252199
33,Vyartsilya,62.1764,30.693,3.24,92,94,4.43,RU,1610252200
34,Te Anau,-45.4167,167.7167,58.5,64,77,7.96,NZ,1610252202
35,Bauchi,10.5,10.0,63.99,28,22,3.11,NG,1610252203
36,Lubao,14.9167,120.55,82.4,54,75,11.5,PH,1610252204
37,Ylivieska,64.0833,24.55,14.0,92,75,11.99,FI,1610252206
38,Mitú,1.1983,-70.1733,70.02,98,93,1.14,CO,1610252207
39,Cairns,-16.9167,145.7667,81.0,100,75,1.14,AU,1610252208
40,Faanui,-16.4833,-151.75,81.5,69,27,9.31,PF,1610252209
41,Yangi Marg`ilon,40.4272,71.7189,19.4,68,0,1.14,UZ,1610252211
42,Chui,-33.6971,-53.4616,65.93,87,14,6.76,UY,1610252212
43,Sitka,57.0531,-135.33,44.6,57,90,23.02,US,1610252214
44,Geretsried,47.8578,11.4805,23.0,93,90,1.14,DE,1610252215
45,Nikolskoye,59.7035,30.7861,6.01,85,0,2.24,RU,1610251685
46,Lubyany,56.0378,51.4,19.4,86,90,13.42,RU,1610252217
47,Hasaki,35.7333,140.8333,44.01,33,20,10.36,JP,1610252077
48,Pevek,69.7008,170.3133,-23.4,88,97,4.18,RU,1610252220
49,Arrondissement de Troyes,48.3333,4.0833,30.2,74,0,4.61,FR,1610252222
50,Lagoa,39.05,-27.9833,57.34,65,99,10.2,PT,1610252223
51,Tuatapere,-46.1333,167.6833,62.01,75,94,21.99,NZ,1610252224
52,Mahon,39.8885,4.2658,50.0,71,0,9.22,ES,1610252226
53,Muramatsu,37.6833,139.1833,33.8,75,75,20.71,JP,1610252227
54,Cape Town,-33.9258,18.4232,64.99,77,75,19.57,ZA,1610252229
55,Mataura,-46.1927,168.8643,62.01,75,100,21.99,NZ,1610252230
56,Saskylakh,71.9167,114.0833,-24.07,85,100,9.71,RU,1610252231
57,Mwene-Ditu,-7.0,23.45,61.68,97,41,0.13,CD,1610252233
58,Chokurdakh,70.6333,147.9167,-24.14,87,100,3.83,RU,1610252222
59,Arraial do Cabo,-22.9661,-42.0278,76.5,92,4,15.14,BR,1610252235
60,Moree,-29.4667,149.85,86.0,26,0,13.8,AU,1610252237
61,Banda Aceh,5.5577,95.3222,83.32,71,50,10.29,ID,1610252177
62,Tsiroanomandidy,-18.7667,46.0333,69.57,92,100,2.15,MG,1610252239
63,Ucluelet,48.9329,-125.5528,42.01,88,100,7.0,CA,1610252014
64,Vaini,-21.2,-175.2,84.2,79,75,8.05,TO,1610252242
65,George Town,5.4112,100.3354,87.8,58,20,10.36,MY,1610252243
66,Barrow,71.2906,-156.7887,5.0,78,90,2.77,US,1610252244
67,Punta Arenas,-53.15,-70.9167,44.6,81,90,4.61,CL,1610252246
68,Bubaque,11.2833,-15.8333,79.68,57,57,16.11,GW,1610252247
69,Guerrero Negro,27.9769,-114.0611,58.93,81,0,10.96,MX,1610252248
70,Yulara,-25.2406,130.9889,96.8,11,0,6.91,AU,1610252249
71,Kokopo,-4.352,152.2633,85.35,61,95,3.31,PG,1610252251
72,Mar del Plata,-38.0023,-57.5575,64.99,77,0,9.22,AR,1610252252
73,Ribeira Grande,38.5167,-28.7,59.52,73,100,15.61,PT,1610252253
74,Magaria,12.9983,8.9099,67.3,25,0,8.81,NE,1610252255
75,Tavda,58.0425,65.2726,-15.02,90,88,4.29,RU,1610251988
76,Carnarvon,-24.8667,113.6333,87.8,55,2,25.32,AU,1610252186
77,Bani Walid,31.7566,13.9942,65.7,30,3,15.32,LY,1610252259
78,Tuktoyaktuk,69.4541,-133.0374,-4.0,77,40,13.8,CA,1610252261
79,Bredasdorp,-34.5322,20.0403,62.6,72,99,5.75,ZA,1610252262
80,Pangai,-19.8,-174.35,82.4,89,75,10.36,TO,1610252263
81,Yar-Sale,66.8333,70.8333,-18.99,88,86,10.76,RU,1610252264
82,Westport,41.1415,-73.3579,33.8,37,1,12.66,US,1610252266
83,Qaanaaq,77.484,-69.3632,-2.13,75,0,5.35,GL,1610251392
84,Souillac,-20.5167,57.5167,80.6,83,75,9.22,MU,1610252268
